WellName,TestUsage,Date,OilRate (STB/D),WaterRate (STB/D),GasRate (MSCF/D),GasLiftRate (MSCF/D),LiquidRate (STB/D),WCUT (%),GLR (SCF/STB),FWHP (Psi),Tubing ID (Inch),FWHT (DegC),WHP Fluctuation (%),WHPFluctuation (Psi),ChokeFluctuation (%),Status,Sluggish_Predict,
WELL-111,Allocation,12/18/2016,3920.784161,12204.43939,3.675797119,2.089082739,16125.22355,75.68539656,227.9532502,338.9482859,7,71.7517395,23.17989493,5.417053223,0.030994415,Non-sluggish,0.17,0
WELL-107ST2,Allocation,6/6/2020,2051.867189,6713.476024,3.435077393,4.399819572,8765.343213,76.59113695,391.893085,235.7546365,5.5,58.3924599,112.4148719,18.27267838,0.042915344,Sluggish,0.96,1
WELL-136,Allocation,12/28/2020,2049.016826,6745.575105,3.411904706,4.801457241,8794.591931,76.70139965,387.9548628,338.8038251,5.5,64.8813629,37.35608228,8.72625351,0.028610229,Sluggish,0.92,1
WELL-131,Allocation,5/14/2019,3783.799365,1722.480292,3.050483374,4.690579567,5506.279657,31.28210696,554.0008071,511.4286401,5.5,47.631031,56.9859686,20.09422112,0.114440918,Sluggish,0.76,1
WELL-125,Informational,2/19/2021,2142.669721,3799.96972,2.421878959,4.54213533,5942.639441,63.94414061,407.5426388,274.3461677,5.5,38.4985161,122.4160352,23.15556622,0.114440918,Sluggish,0.92,1
WELL-143,Allocation,5/6/2014,5588.828461,5021.710074,21.95103571,0,10610.53854,47.3275702,2068.795626,1022.663301,5.5,48.8326836,2.52927702,1.78339386,0.07629776,Non-sluggish,0.03,0
WELL-137ST1,Allocation,11/23/2016,1615.610517,6138.539974,1.496596456,4.381724375,7754.150491,79.16457104,193.0058564,304.6440634,5.5,68.3794937,63.39445329,13.31564407,0.329025269,Sluggish,0.96,1
WELL-137ST1,Allocation,1/24/2017,1216.867603,5069.214978,1.585122374,6.160345929,6286.082581,80.64187692,252.1637846,354.9938441,5.5,62.7145805,70.79955472,17.32884216,0.104911804,Sluggish,0.91,1
WELL-146,Allocation,12/16/2018,1166.411271,2077.088689,0.53486487,3.842207632,3243.49996,64.03849899,164.9036154,387.4928105,5.5,50.3509598,45.86992099,12.25490189,0.019073486,Sluggish,0.99,1
WELL-109,Allocation,8/26/2013,4037.20223,591.4921765,8.781009232,0,4628.694407,12.77881244,1897.08122,290.9446993,5.5,53.1013947,6.846057885,1.373311996,0.004776001,Non-sluggish,0,0
WELL-122,Allocation,10/12/2015,3217.788736,9556.7644,1.060363712,4.833628933,12774.55314,74.81094875,83.00593381,393.5171016,5.5,66.493,19.54337796,5.302509308,0.021453857,Sluggish,0.93,1
WELL-146,Informational,6/19/2019,1503.843289,2293.12912,2.786979377,4.980258878,3796.972409,60.39362084,734.000429,336.1757365,5.5,50.4615784,32.91638506,7.62951088,0.016693115,Sluggish,0.98,1
WELL-143,Allocation,9/7/2019,2038.014598,4959.484135,2.501774759,5.531885528,6997.498733,70.87509872,357.524146,403.5380642,5.5,64.7020569,68.51990275,19.06423759,0.009536743,Sluggish,0.99,1
WELL-132,Informational,3/24/2013,4588.385787,44.69014655,10.77839887,0,4633.075934,0.964589124,2326.402378,1222.814015,5.5,24.3152542,1.232975237,1.039520264,0.052455902,Non-sluggish,0,0
WELL-146,Allocation,9/17/2019,3901.761509,1947.524119,5.291916357,3.978017208,5849.285628,33.29507641,904.7115654,452.5037705,5.5,51.5716782,17.51450687,5.464347549,0.047683716,Sluggish,0.77,1
WELL-109,Allocation,3/5/2013,3794.116658,581.8590743,8.073153511,0,4375.975732,13.2966705,1844.880777,297.9990793,5.5,52.8915825,0.78907993,0.162126541,0,Non-sluggish,0,0
WELL-123A,Informational,7/28/2020,4808.237341,8117.180517,11.96657447,0,12925.41786,62.80014005,925.8172232,383.8964323,5.5,51.4534187,7.422363191,1.964601517,0.011917114,Non-sluggish,0.07,0
WELL-132,Allocation,8/20/2019,1768.356994,1533.632377,3.664403654,3.387488381,3301.989371,46.44570908,1109.756345,689.0329113,5.5,31.9676495,21.48659114,10.20764796,0.014305115,Sluggish,0.99,1
WELL-102ST,Informational,6/24/2014,3290.554164,7708.4273,3.674483807,2.819631592,10998.98146,70.08310111,334.0749158,377.0988,7,60.8,39.98156327,10.39520645,0.045303345,Sluggish,0.94,1
WELL-103,Informational,6/19/2018,5652.325978,2012.259862,47.26188019,0,7664.58584,26.25399342,6166.266668,1209.120432,5.5,36.4271011,0.560560627,0.467315674,0.927459717,Non-sluggish,0,0
WELL-131,Allocation,7/13/2019,5077.841111,2330.734914,4.672388046,4.495702569,7408.576025,31.45995811,630.6728891,315.9808006,5.5,50.4730301,95.07964101,20.71411705,0.298027039,Sluggish,0.93,1
WELL-140,Informational,6/21/2016,2863.398429,76.99547169,38.45271604,0,2940.393901,2.618542763,13077.40301,1792.868395,5.5,17.8263493,0.865635395,1.070043948,0.479230881,Non-sluggish,0.03,0
WELL-131,Allocation,4/12/2020,4356.688147,2078.773023,4.168381822,4.851321598,6435.46117,32.30185014,647.7207634,319.7155248,5.5,48.6343193,41.18715296,9.079118729,0.913162231,Sluggish,0.94,1
WELL-123A,Allocation,10/22/2019,1178.043971,6255.856847,8.372465347,0,7433.900818,84.15308463,1126.254648,619.4574503,5.5,48.5160599,32.15433525,13.73311996,0.052452087,Sluggish,0.88,1
WELL-146,Informational,9/6/2018,641.5273058,1737.76194,0.022152554,6.12229434,2379.289246,73.03701906,9.310576274,316.8107139,5.5,50.3929214,34.57910838,7.553215027,0.016685486,Sluggish,0.83,1
WELL-107ST2,Allocation,2/5/2021,3539.559006,7455.798354,3.622084874,8.18635689,10995.35736,67.80860421,329.4194773,402.2931943,5.5,59.7619591,51.74666205,14.35301781,0.021461487,Sluggish,0.84,1
WELL-148,Informational,12/21/2015,10230.62226,1613.1285,27.55116718,0,11843.75076,13.62008145,2326.219771,621.0817236,5.5,52.398,6.993219691,2.994636536,0.014305115,Non-sluggish,0,0
WELL-109,Informational,4/11/2016,3218.234248,567.0422689,7.090875556,1.90628323,3785.276517,14.98020729,1873.278088,282.5071833,5.5,46.2195816,6.658836136,1.297018051,0.007156372,Non-sluggish,0.02,0
WELL-132,Allocation,7/26/2013,2293.64465,27.21815367,1.264870965,0,2320.862804,1.172760132,545.0003176,640.3438433,5.5,29.9649048,0.648030873,0.28610611,0,Non-sluggish,0.08,0
WELL-128,Allocation,1/23/2014,1626.17415,4824.023052,1.750408106,4.174657735,6450.197202,74.78876848,271.3728048,315.1508859,5.5,57.888916,27.91434473,6.065465927,0.014305115,Sluggish,1,1
WELL-131,Allocation,3/21/2017,4060.616492,2311.810528,2.390701049,3.127954581,6372.42702,36.27833666,375.1633469,336.3139723,5.5,50.6065407,47.66801686,11.05325508,0.08821106,Sluggish,0.99,1
WELL-146,Allocation,9/18/2018,966.973748,1478.686635,0.031229214,6.30446522,2445.660383,60.46165057,12.76923575,294.6793669,5.5,50.3242493,30.65151838,6.227588654,0.33379364,Sluggish,0.89,1
WELL-136,Allocation,4/2/2016,1115.048756,12254.30535,1.651344875,5.530649514,13369.35411,91.65966623,123.5171768,302.2925565,5.5,68.7762299,2.699735199,0.56268692,0,Non-sluggish,0.24,0
WELL-128,Allocation,7/26/2014,1373.352577,3955.078555,1.355482302,4.246600676,5328.431132,74.22594863,254.3867545,355.2640369,5.5,56.6720123,44.34667647,10.86251831,0.185966492,Sluggish,0.99,1
WELL-109,Allocation,10/11/2016,3752.830568,588.5467988,6.092088261,5.119999146,4341.377367,13.55668372,1403.261626,269.0900181,5.5,43.3165398,9.818022771,1.821544647,0.195976257,Non-sluggish,0.02,0
WELL-136,Allocation,2/23/2017,1212.713216,11377.66082,1.095749107,4.09459793,12590.37404,90.36793337,87.03070329,300.2176603,5.5,69.1691437,4.377064767,0.906019211,0.038146973,Non-sluggish,0.32,0
WELL-131,Allocation,1/19/2013,6795.428517,2832.770921,5.849683102,3.725983368,9628.199438,29.42160618,607.5573257,327.8764287,5.5,55.1270256,2.362476381,0.534067154,0.007148743,Non-sluggish,0.05,0
WELL-107ST2,Informational,12/15/2016,2324.911923,4597.8879,0.690563493,0,6922.799823,66.4165947,99.75205273,337.93854,5.5,59.7,39.94850846,9.308002472,0.040534973,Sluggish,0.9,1
WELL-103,Allocation,9/28/2014,5497.375207,586.4972313,62.61416116,0,6083.872438,9.640196063,10291.82676,1451.18225,5.5,40.2265968,0.162035007,0.162124634,0.004768372,Non-sluggish,0,0
WELL-143,Informational,4/7/2019,974.2676674,5151.064486,0.830172756,5.497213114,6125.332153,84.09445165,135.5310594,295.647629,5.5,53.7346497,95.72374875,19.51247215,0.057220459,Sluggish,0.94,1
WELL-114,Informational,2/5/2019,7381.772804,6069.317215,10.30107312,0,13451.09002,45.12137832,765.8169788,410.17746,5.5,63.4775391,4.856006112,1.373311996,0.069149017,Non-sluggish,0.04,0
WELL-110,Allocation,4/10/2014,2374.14385,15122.12467,2.521871389,5.746430607,17496.26852,86.43057034,144.1376706,355.5406751,5.5,55.1232185,12.13817278,2.975505829,0.021461487,Non-sluggish,0.46,0
WELL-145A,Allocation,2/6/2017,5824.503265,6693.062108,19.73901042,0,12517.56537,53.46936012,1576.90492,354.5788875,5.5,54.2343788,21.14378458,5.169086456,0.019073486,Non-sluggish,0.43,0
WELL-104,Allocation,4/28/2020,2852.644805,3776.165256,4.287468223,2.074673238,6628.810061,56.96595952,646.7930418,358.7220401,7,45.1857796,80.93621449,20.01792908,0.052452087,Sluggish,0.84,1
WELL-137ST1,Allocation,9/15/2019,869.0069134,3990.848009,3.326779806,4.016125356,4859.854922,82.11866553,684.5430284,685.9898371,5.5,46.0212097,58.51513755,27.67605019,0.069141388,Sluggish,0.92,1
WELL-131,Allocation,11/9/2013,5150.938849,2676.90264,4.209803165,3.508845693,7827.841489,34.19720039,537.7987241,315.5658701,5.5,53.8948669,17.79608734,3.871976852,0.095367432,Sluggish,0.97,1
WELL-107ST2,Allocation,11/17/2017,2681.743808,5978.300599,1.616529142,5.404900488,8660.044407,69.03314022,186.6652255,378.2252971,5.5,59.4377098,47.2864115,12.33119392,0.019073486,Sluggish,0.91,1
WELL-131,Allocation,5/4/2017,3939.293317,2255.231024,2.987188182,3.822699847,6194.524341,36.4068474,482.2304373,406.7194858,5.5,50.7515106,25.91483762,7.267108917,0.188354492,Sluggish,0.99,1
WELL-146,Allocation,3/7/2020,5644.715848,2548.283876,8.980625381,4.885608861,8192.999724,31.10318518,1096.133978,386.9396167,5.5,53.4790611,9.437324102,2.517736435,0.033378601,Non-sluggish,0.07,0
